# Rime dict
# encoding: utf-8
# name: sbzdy
# version: "10.0"
# 声笔通用自定义用户词库
# 编码格式：字词+Tab符+编码，首码必须为声母，后接小写字母
# 以下是一些示例词条，用户可以任意增删改

自定义【用户词组】	zdy
测试一下吧:)	cs
𰻝	biang
𰻝𰻝面	bbm
𬎆	ying
声笔官网：sbxlm.github.io	gw
sbxlm.github.io	gwa
声笔介绍：sbxlm.github.io/about	js
sbxlm.github.io/about	jsa
安装配置：sbxlm.github.io/vzpz	vz
sbxlm.github.io/vzpz	vza
声笔基础：sbxlm.github.io/sbjc	jc
sbxlm.github.io/sbjc	jca
声笔简系：sbxlm.github.io/sbj	sbj
sbxlm.github.io/sbj	sbja
声笔简拼：sbxlm.github.io/sbjp	jp
sbxlm.github.io/sbjp	jpa
声笔简码：sbxlm.github.io/sbjm	jm
sbxlm.github.io/sbjm	jma
声笔简飞：sbxlm.github.io/sbjf	jf
sbxlm.github.io/sbjf	jfa
声笔拼音：sbxlm.github.io/sbpy	py
sbxlm.github.io/sbpy	pya
声笔双拼：sbxlm.github.io/sbs	sbs
sbxlm.github.io/sbs	sbsa
声笔自然：sbxlm.github.io/sbzr	zr
sbxlm.github.io/sbzr	zra
声笔自然：sbxlm.github.io/sbzr	zr
sbxlm.github.io/sbzr	zra
声笔自整：sbxlm.github.io/sbzz	zz
sbxlm.github.io/sbzz	zza
声笔小鹤：sbxlm.github.io/sbxh	xh
sbxlm.github.io/sbxh	xha
声笔鹤整：sbxlm.github.io/sbhz	hz
sbxlm.github.io/sbhz	hza
声笔飞系：sbxlm.github.io/sbf	sbf
sbxlm.github.io/sbf	sbfa
声笔飞单：sbxlm.github.io/sbfd	fd
sbxlm.github.io/sbfm	fma
声笔飞码：sbxlm.github.io/sbfm	fm
sbxlm.github.io/sbfd	fda
声笔飞讯：sbxlm.github.io/sbfx	fx
sbxlm.github.io/sbfx	fxa
发展历程：sbxlm.github.io/fzlc	lc
sbxlm.github.io/fzlc	lca
常见问题：sbxlm.github.io/faq	wt
sbxlm.github.io/faq	wta
声笔条反：sbxlm.github.io/sbtf	tf
sbxlm.github.io/sbtf	tfa
声笔快打：sbxlm.github.io/sbkd	kd
sbxlm.github.io/sbkd	kda
声笔工具：sbxlm.github.io/sbgj	gj
sbxlm.github.io/sbgj	gja
声笔下载：github.com/sbsrf/home/releases	xz
github.com/sbsrf/home/releases	xza
live.bilibili.com/31638019	bza
声笔B站直播间：live.bilibili.com/31638019	bz
声笔QQ交流群：445906697,780510469,783734487,728093309	qq
